Transaction_ID,Sender_account,Sender_age,Sender_is_elderly,Receiver_account,Receiver_age,Receiver_is_elderly,Amount,Date,Is_fraud,Sender_gender,Receiver_gender,Type_of_fraud,Method_of_contact,Loss,Time_of_day,Resolution_status
TXN-ZGH4A9ZJ,006953697,38,0,206718272,21,0,457.46,2023-05-15,0,Female,Male,Legitimate,Direct,0.0,Morning,N/A
TXN-CIJQN6C4,089029013,20,0,030635852,62,1,407.64,2023-03-22,0,Male,Male,Legitimate,Direct,0.0,Morning,N/A
TXN-NNS9PZEM,674715057,69,1,453651788,44,0,657.94,2023-12-23,1,Female,Male,Investment Fraud,Email,657.94,Afternoon,Reported
TXN-UE6EU8UI,896619255,73,1,284968123,33,0,240.21,2023-11-19,0,Female,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-3LKEISJE,175484941,64,1,435131719,21,0,878.0,2023-11-08,0,Male,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-RZF1U6VQ,687066793,46,0,601141462,38,0,191.86,2023-03-20,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-L51CTAE3,039684919,36,0,208371533,58,0,117.48,2023-01-28,0,Male,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-Q9MY338M,689785773,38,0,228268503,21,0,129.09,2023-04-04,0,Female,Male,Legitimate,Direct,0.0,Night,N/A
TXN-MY4GWDSH,991307112,80,1,351948014,32,0,81.47,2023-09-18,1,Female,Female,Tech Support Scam,Phone,81.47,Morning,Unreported
TXN-XMGKMZ1M,006953697,38,0,295846763,40,0,285.98,2023-11-17,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-JHPBGGBA,323468580,47,0,876106572,61,1,232.77,2023-12-08,0,Female,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-SWVTQQKL,926371323,44,0,936575986,61,1,903.33,2023-09-15,0,Female,Male,Legitimate,Direct,0.0,Morning,N/A
TXN-NY3YA71L,739328947,63,1,433074125,56,0,145.15,2023-03-13,0,Male,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-4JA2UMQ4,944520428,22,0,117066793,32,0,10.18,2023-11-19,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-3QLF4IND,578280546,58,0,284450553,32,0,79.73,2023-06-12,0,Female,Male,Legitimate,Direct,0.0,Morning,N/A
TXN-IU2DG7VJ,628150493,39,0,992348895,53,0,233.68,2023-12-17,0,Female,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-OX2N5ZAN,925602213,65,1,196130056,38,0,244.15,2023-07-30,1,Male,Female,Other,Other,244.15,Evening,Unreported
TXN-K0TD0DOF,713306873,21,0,971585914,54,0,64.24,2023-05-28,0,Male,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-XHPUQPNR,818364173,21,0,995031334,46,0,35.64,2023-02-12,0,Male,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-WZ2NAR3S,069212356,87,1,522454127,22,0,126.7,2023-01-05,1,Male,Female,Romance Scam,Social Media,126.7,Morning,Resolved
TXN-EC7S5C5K,796285932,65,1,047654552,73,1,273.73,2023-09-07,0,Female,Male,Legitimate,Direct,0.0,Morning,N/A
TXN-12CYVQUZ,187860433,31,0,731448745,80,1,171.04,2023-05-05,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-5EYFLPMJ,214579170,55,0,691147183,33,0,401.02,2023-03-16,0,Male,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-92VDR8AL,413293741,26,0,694101194,48,0,138.45,2023-10-14,0,Male,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-ZU2ZUEUG,756420240,63,1,580196799,20,0,336.26,2023-03-26,1,Male,Female,Romance Scam,Social Media,336.26,Evening,Unreported
TXN-QLOLDA6N,627563708,81,1,235037646,34,0,84.69,2023-09-14,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-ATH5PKP6,167910922,28,0,286201412,44,0,173.61,2023-02-02,0,Male,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-LGOR0A5S,597751693,50,0,682007818,55,0,54.88,2023-10-01,0,Female,Male,Legitimate,Direct,0.0,Morning,N/A
TXN-9ON2FJK8,261916298,40,0,731448745,80,1,206.14,2023-02-28,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-FLVTQQQT,253548261,20,0,774869166,79,1,218.86,2023-10-28,0,Male,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-B68RERVT,175484941,64,1,669143326,35,0,284.95,2023-11-27,1,Male,Male,Government Impersonation,In-Person,284.95,Night,Unreported
TXN-3Q26TE0P,225956459,65,1,376767056,43,0,1174.06,2023-01-12,1,Male,Male,Romance Scam,Social Media,1174.06,Night,Reported
TXN-GGL6XCJD,926371323,44,0,586582861,83,1,794.09,2023-03-27,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-AWVSPYZF,705436922,53,0,823050912,54,0,178.2,2023-01-05,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-3C3ZQX3Q,620927151,72,1,228268503,21,0,335.91,2023-10-16,1,Female,Male,Tech Support Scam,Phone,335.91,Night,Unreported
TXN-2NKIT6D5,946820704,22,0,008721109,34,0,502.03,2023-07-30,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-711IVWBW,904735581,42,0,826159146,24,0,36.27,2023-08-30,0,Female,Female,Legitimate,Direct,0.0,Night,N/A
TXN-A9P9URVI,104848421,87,1,727600539,83,1,117.82,2023-02-03,0,Female,Male,Legitimate,Direct,0.0,Morning,N/A
TXN-A8JZ9DS2,831075810,75,1,271874491,24,0,87.74,2023-12-15,1,Male,Male,Investment Fraud,Email,87.74,Evening,Unreported
TXN-2DJ43DGA,633719211,90,1,435131719,21,0,87.92,2023-08-31,1,Female,Female,Romance Scam,Social Media,87.92,Evening,Unreported
TXN-NEBR49BM,101604502,67,1,682007818,55,0,60.16,2023-11-24,0,Male,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-5PKV79HZ,170379374,23,0,143224154,20,0,268.08,2023-09-11,0,Female,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-JL4823F9,204901283,39,0,672410971,32,0,236.15,2023-05-23,0,Male,Female,Legitimate,Direct,0.0,Night,N/A
TXN-41FM7ZTT,595021782,83,1,591347116,60,1,1678.09,2023-06-30,0,Female,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-TTTDOIQD,284450553,32,0,150926919,87,1,164.76,2023-04-28,0,Male,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-M4KCXMKI,339715135,76,1,193587044,30,0,137.53,2023-12-08,0,Male,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-SPLJCP1Y,655049436,80,1,995678970,53,0,432.05,2023-03-08,0,Male,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-193OGP6V,633719211,90,1,803099969,73,1,66.46,2023-02-23,0,Female,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-893FSQKC,410760584,85,1,647412689,72,1,109.44,2023-04-14,0,Female,Male,Legitimate,Direct,0.0,Morning,N/A
